e	593472.740
s	336179.380
a	330157.090
i	296201.590
t	289764.400
n	278265.290
r	262985.560
u	241951.440
l	232621.070
o	209755.090
d	147884.830
m	117425.040
c	115681.230
p	114056.420
é	75556.710
v	67493.290
f	43381.040
'	41481.640
g	38686.390
b	38280.480
h	32656.410
q	30836.340
à	21978.670
j	21900.710
x	15954.560
è	14031.500
y	9502.580
ê	9369.060
z	5186.170
ç	5051.260
-	4893.210
ô	2593.580
â	2363.780
î	2118.300
ù	2068.180
û	2020.890
 	1148.260
k	591.840
ï	301.180
w	207.030
ë	33.270
ü	6.150
.	1.220
ö	0.610
ñ	0.000
ã	0.000
