,item,category
0,année,W
1,adieu,W
2,unité,W
3,titre,W
4,magie,W
5,effet,W
6,monde,W
7,poète,W
8,fille,W
9,amour,W
10,stade,W
11,santé,W
12,écran,W
13,écart,W
14,temps,W
15,frère,W
16,femme,W
17,dette,W
18,terre,W
19,phase,W
20,bande,W
21,forêt,W
22,grâce,W
23,karma,W
24,garce,W
25,copie,W
26,reste,W
27,tenue,W
28,super,W
29,siège,W
30,privé,W
31,crime,W
32,roman,W
33,peste,W
34,ombre,W
35,fruit,W
36,hiver,W
37,drôle,W
38,piste,W
39,étage,W
40,verre,W
41,terme,W
42,huile,W
43,envie,W
44,trône,W
45,ordre,W
46,tarte,W
47,délit,W
48,hôtel,W
49,froid,W
50,geste,W
51,métro,W
52,drame,W
53,sujet,W
54,comte,W
55,tueur,W
56,cadre,W
57,fusil,W
58,cesse,W
59,glace,W
60,mardi,W
61,tache,W
62,doute,W
63,style,W
64,asile,W
65,toast,W
66,belle,W
67,maman,W
68,chose,W
69,voyou,W
70,foule,W
71,texte,W
72,canne,W
73,matin,W
74,salle,W
75,nègre,W
76,motif,W
77,boîte,W
78,souci,W
79,sport,W
80,parti,W
81,heure,W
82,gorge,W
83,match,W
84,corde,W
85,jeudi,W
86,crâne,W
87,neige,W
88,grand,W
89,faîte,W
90,passe,W
91,gaffe,W
92,tâche,W
93,début,W
94,chute,W
95,baron,W
96,congé,W
97,veuve,W
98,gamin,W
99,coton,W
0,pwvzi,P
1,jfbtb,P
2,vbiaa,P
3,hapbz,P
4,qekfk,P
5,gdayl,P
6,dguww,P
7,nnpds,P
8,zrhbe,P
9,nlndy,P
10,pjjus,P
11,dekzg,P
12,zidaf,P
13,qgrde,P
14,ipszh,P
15,ukrbp,P
16,eojow,P
17,qwlwb,P
18,cnmlx,P
19,poaoy,P
20,kkyin,P
21,dnlaq,P
22,diduy,P
23,rboih,P
24,tutlp,P
25,rxpne,P
26,worwl,P
27,torgt,P
28,ujcgp,P
29,hiqrg,P
30,fhzed,P
31,ivnog,P
32,ermug,P
33,iweau,P
34,uivxj,P
35,vyjlz,P
36,qddwq,P
37,styqt,P
38,nfhzf,P
39,xwkbj,P
40,jpdrm,P
41,elosx,P
42,fpggp,P
43,phcqu,P
44,iifut,P
45,jkcsd,P
46,kprdx,P
47,pjmuw,P
48,ffcyh,P
49,xkhpx,P
50,ymrrk,P
51,jjodv,P
52,nhzkf,P
53,mcxjp,P
54,nxhex,P
55,qcnda,P
56,xcopm,P
57,lkwzt,P
58,rbjjm,P
59,ylsvf,P
60,lmzzc,P
61,mhobi,P
62,exijl,P
63,dkonl,P
64,kaxco,P
65,hkhug,P
66,mgcjy,P
67,apepo,P
68,zcmtv,P
69,uwfmy,P
70,ahisk,P
71,mzyks,P
72,fyasg,P
73,xdvcy,P
74,ithja,P
75,wpyck,P
76,hishj,P
77,mdpbd,P
78,duhax,P
79,ldxjx,P
80,bwnsq,P
81,wbcry,P
82,amwzy,P
83,xputg,P
84,xfgbg,P
85,usmog,P
86,eykxa,P
87,wzchu,P
88,bauuy,P
89,ajanq,P
90,onxap,P
91,bcaxa,P
92,bbzls,P
93,uqtph,P
94,kwgbh,P
95,batia,P
96,ojihw,P
97,hypnw,P
98,olkvl,P
99,gdbtd,P
